,From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station
0,01-08-2021 00:00,02-08-2021 00:00,9,0.33,2.34,12.93,37.33,16.47,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
1,02-08-2021 00:00,03-08-2021 00:00,11.87,0.36,3.25,13.31,42.39,21.5,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
2,03-08-2021 00:00,04-08-2021 00:00,7.78,0.37,3.41,13.77,45.39,23.13,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
3,04-08-2021 00:00,05-08-2021 00:00,31.52,0.39,2.39,16.53,41.74,19.82,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
4,05-08-2021 00:00,06-08-2021 00:00,8.65,0.35,3.17,20.16,42.04,20.72,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
5,06-08-2021 00:00,07-08-2021 00:00,6.48,0.41,3.68,20.18,42.16,23.51,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
6,07-08-2021 00:00,08-08-2021 00:00,16.06,0.4,3.71,17.23,42.63,25.11,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
7,08-08-2021 00:00,09-08-2021 00:00,24.51,0.36,3.21,24.67,42.46,23.37,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
8,09-08-2021 00:00,10-08-2021 00:00,8.05,0.36,3.42,22.09,41.82,21.29,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
9,10-08-2021 00:00,11-08-2021 00:00,7.66,0.38,3.63,17.26,42.02,20.89,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
10,11-08-2021 00:00,12-08-2021 00:00,9.38,0.38,3.47,18.62,46.87,24.48,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
11,12-08-2021 00:00,13-08-2021 00:00,8.58,0.41,2.94,18.44,39,18.48,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
12,13-08-2021 00:00,14-08-2021 00:00,13.73,0.42,3.47,17.56,42.05,19.27,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
13,14-08-2021 00:00,15-08-2021 00:00,4.69,0.39,3.14,15.47,47.19,22.22,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
14,15-08-2021 00:00,16-08-2021 00:00,9.06,0.37,2.61,16.01,41.15,20.78,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
15,16-08-2021 00:00,17-08-2021 00:00,7.53,0.43,2.44,17.6,38.18,19.63,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
16,17-08-2021 00:00,18-08-2021 00:00,8.37,0.39,2.66,16.48,41.22,21.06,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
17,18-08-2021 00:00,19-08-2021 00:00,6.37,0.44,2.65,15.12,41.47,19.08,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB"
